SOC [-],OCV [V]
0.302775,3.554569076862745
0.303589,3.555209076862745
0.304408,3.555849076862745
0.305226,3.556499076862745
0.30604,3.557139076862745
0.306854,3.557139076862745
0.307673,3.557779076862745
0.308487,3.558429076862745
0.309306,3.558429076862745
0.310125,3.559069076862745
0.310938,3.559719076862745
0.311757,3.560359076862745
0.312576,3.560359076862745
0.31339,3.560999076862745
0.314209,3.561649076862745
0.315023,3.561649076862745
0.315837,3.562289076862745
0.316655,3.562929076862745
0.317474,3.563579076862745
0.318293,3.564219076862745
0.319107,3.564219076862745
0.319921,3.564859076862745
0.32074,3.565509076862745
0.321558,3.565509076862745
0.322377,3.566149076862745
0.323191,3.566789076862745
0.324005,3.566789076862745
0.324819,3.567439076862745
0.325633,3.568079076862745
0.326452,3.568079076862745
0.327271,3.568719076862745
0.32809,3.569369076862745
0.328908,3.569369076862745
0.329722,3.570009076862745
0.330541,3.570649076862745
0.331355,3.571299076862745
0.332174,3.571939076862745
0.332992,3.571939076862745
0.333811,3.572579076862745
0.33463,3.573229076862745
0.335448,3.573869076862745
0.336263,3.573869076862745
0.337081,3.574509076862745
0.3379,3.575159076862745
0.338714,3.575159076862745
0.339533,3.575799076862745
0.340352,3.5764390768627448
0.34117,3.5764390768627448
0.341989,3.577089076862745
0.342808,3.5777290768627448
0.343626,3.5777290768627448
0.344445,3.578369076862745
0.345259,3.578369076862745
0.346073,3.579019076862745
0.346887,3.579659076862745
0.347706,3.5802990768627447
0.34852,3.5802990768627447
0.349334,3.580949076862745
0.350153,3.5815890768627447
0.350971,3.582229076862745
0.351785,3.582229076862745
0.352604,3.5828790768627448
0.353418,3.583519076862745
0.354237,3.584159076862745
0.355051,3.584159076862745
0.35587,3.584809076862745
0.356684,3.584809076862745
0.357498,3.585449076862745
0.358312,3.586089076862745
0.359131,3.5867390768627447
0.359945,3.5867390768627447
0.360759,3.587379076862745
0.361573,3.588019076862745
0.362387,3.588019076862745
0.363201,3.588669076862745
0.364015,3.588669076862745
0.364829,3.589309076862745
0.365643,3.589949076862745
0.366462,3.590599076862745
0.367281,3.590599076862745
0.368095,3.591239076862745
0.368909,3.591879076862745
0.369727,3.592529076862745
0.370546,3.592529076862745
0.37136,3.593169076862745
0.372179,3.593809076862745
0.372993,3.593809076862745
0.373812,3.594459076862745
0.37463,3.595099076862745
0.375445,3.595099076862745
0.376259,3.595739076862745
0.377073,3.596389076862745
0.377887,3.597029076862745
0.378705,3.597029076862745
0.379524,3.597669076862745
0.380338,3.598319076862745
0.381157,3.598319076862745
0.381971,3.598959076862745
0.38279,3.599599076862745
0.383604,3.599599076862745
0.384422,3.600249076862745
0.385236,3.600889076862745
0.386055,3.600889076862745
0.386869,3.601529076862745
0.387683,3.602179076862745
0.388502,3.602819076862745
0.389316,3.602819076862745
0.390135,3.603459076862745
0.390954,3.604109076862745
0.391767,3.604749076862745
0.392582,3.604749076862745
0.393396,3.605389076862745
0.39421,3.606039076862745
0.395028,3.606039076862745
0.395847,3.606679076862745
0.396661,3.607319076862745
0.39748,3.607319076862745
0.398294,3.607969076862745
0.399113,3.608609076862745
0.399932,3.608609076862745
0.40075,3.6092490768627448
0.401564,3.609899076862745
0.402383,3.609899076862745
0.403202,3.610539076862745
0.404016,3.611179076862745
0.404834,3.611829076862745
0.405648,3.611829076862745
0.406467,3.612469076862745
0.407281,3.6131090768627447
0.4081,3.613759076862745
0.408919,3.613759076862745
0.409733,3.6143990768627448
0.410551,3.615039076862745
0.41137,3.6156890768627448
0.412189,3.6156890768627448
0.413007,3.616329076862745
0.413822,3.616969076862745
0.414636,3.617619076862745
0.41545,3.617619076862745
0.416264,3.6182590768627447
0.417082,3.618899076862745
0.417897,3.618899076862745
0.418715,3.6195490768627447
0.419529,3.620189076862745
0.420348,3.620189076862745
0.421167,3.620829076862745
0.421981,3.621479076862745
0.4228,3.622119076862745
0.423614,3.622759076862745
0.424432,3.622759076862745
0.425251,3.623409076862745
0.426065,3.624049076862745
0.426879,3.624689076862745
0.427698,3.624689076862745
0.428512,3.625339076862745
0.429331,3.625979076862745
0.430145,3.625979076862745
0.430963,3.626629076862745
0.431782,3.627269076862745
0.432601,3.627909076862745
0.433419,3.628559076862745
0.434238,3.629199076862745
0.435052,3.629199076862745
0.435866,3.629839076862745
0.43668,3.630489076862745
0.437494,3.631129076862745
0.438313,3.631129076862745
0.439132,3.631769076862745
0.43995,3.632419076862745
0.440769,3.633059076862745
0.441583,3.633699076862745
0.442397,3.633699076862745
0.443216,3.634349076862745
0.44403,3.634989076862745
0.444844,3.635629076862745
0.445658,3.636279076862745
0.446472,3.636279076862745
0.447286,3.636919076862745
0.4481,3.637559076862745
0.448915,3.638209076862745
0.449733,3.638849076862745
0.450552,3.638849076862745
0.451366,3.639489076862745
0.452185,3.640139076862745
0.452999,3.640779076862745
0.453813,3.640779076862745
0.454632,3.641419076862745
0.45545,3.642069076862745
0.456269,3.642709076862745
0.457083,3.643349076862745
0.457897,3.643999076862745
0.458716,3.644639076862745
0.45953,3.645279076862745
0.460344,3.645279076862745
0.461163,3.645929076862745
0.461981,3.646569076862745
0.4628,3.6472090768627448
0.463614,3.647859076862745
0.464428,3.6484990768627448
0.465247,3.6484990768627448
0.466065,3.649139076862745
0.466884,3.649789076862745
0.467698,3.650429076862745
0.468517,3.6510690768627447
0.469336,3.6510690768627447
0.470154,3.651719076862745
0.470973,3.6523590768627447
0.471787,3.652999076862745
0.472606,3.6536490768627448
0.47342,3.654289076862745
0.474239,3.654929076862745
0.475057,3.655579076862745
0.475871,3.656219076862745
0.47669,3.656859076862745
0.477509,3.656859076862745
0.478327,3.6575090768627447
0.479142,3.658149076862745
0.47996,3.658789076862745
0.480774,3.659439076862745
0.481593,3.660079076862745
0.482412,3.660719076862745
0.483226,3.660719076862745
0.484044,3.661369076862745
0.484858,3.662009076862745
